Index,CorrectRate,Score,ln,Unnamed: 4
19539,0.506,0.012,1.644750616,1.634538047
22435,0.506,0.012,1.634538047,1.655069018
25227,0.506,0.012,1.655069018,1.655069018
28131,0.506,0.012,1.62442916,1.62442916
30261,0.506,0.012,1.62442916,1.665495467
33623,0.506,0.012,1.665495467,1.655069018
36739,0.506,0.012,1.665495467,1.665495467
40142,0.506,0.012,1.634538047,1.634538047
43154,0.506,0.012,1.665495467,1.655069018
46802,0.506,0.012,1.644750616,1.634538047
49160,0.506,0.012,1.62442916,1.634538047
1558,0.508,0.016,1.6589969,1.628357042
4306,0.508,0.016,1.648678498,1.648678498
7077,0.508,0.016,1.669423349,1.638465929
9758,0.508,0.016,1.6589969,1.638465929
12758,0.508,0.016,1.669423349,1.669423349
14691,0.508,0.016,1.6589969,1.6589969
18507,0.508,0.016,1.628357042,1.638465929
21387,0.508,0.016,1.669423349,1.6589969
24330,0.508,0.016,1.6589969,1.6589969
28048,0.508,0.016,1.648678498,1.648678498
31491,0.508,0.016,1.628357042,1.628357042
34727,0.508,0.016,1.648678498,1.638465929
38247,0.508,0.016,1.669423349,1.669423349
41424,0.508,0.016,1.648678498,1.638465929
44131,0.508,0.016,1.628357042,1.628357042
46519,0.508,0.016,1.648678498,1.6589969
49445,0.508,0.016,1.628357042,1.648678498
2210,0.51,0.02,1.662909348,1.673335797
4757,0.51,0.02,1.642378377,1.673335797
7945,0.51,0.02,1.642378377,1.63226949
11721,0.51,0.02,1.63226949,1.673335797
15414,0.51,0.02,1.652590947,1.662909348
18454,0.51,0.02,1.63226949,1.673335797
21651,0.51,0.02,1.63226949,1.652590947
24519,0.51,0.02,1.662909348,1.662909348
26781,0.51,0.02,1.662909348,1.673335797
29191,0.51,0.02,1.662909348,1.673335797
32580,0.51,0.02,1.642378377,1.652590947
35534,0.51,0.02,1.673335797,1.662909348
38671,0.51,0.02,1.642378377,1.63226949
41250,0.51,0.02,1.662909348,1.642378377
44799,0.51,0.02,1.642378377,1.63226949
47787,0.51,0.02,1.652590947,1.63226949
1276,0.512,0.024,1.656488082,1.666806483
4199,0.512,0.024,1.646275512,1.677232933
7296,0.512,0.024,1.677232933,1.677232933
10306,0.512,0.024,1.677232933,1.646275512
13651,0.512,0.024,1.666806483,1.636166626
16330,0.512,0.024,1.677232933,1.666806483
19384,0.512,0.024,1.656488082,1.646275512
22150,0.512,0.024,1.656488082,1.677232933
25376,0.512,0.024,1.646275512,1.636166626
28866,0.512,0.024,1.656488082,1.646275512
32406,0.512,0.024,1.646275512,1.656488082
36039,0.512,0.024,1.677232933,1.666806483
39646,0.512,0.024,1.646275512,1.656488082
42912,0.512,0.024,1.636166626,1.636166626
46014,0.512,0.024,1.646275512,1.666806483
49483,0.512,0.024,1.656488082,1.677232933
2805,0.514,0.028,1.681114875,1.650157454
7072,0.514,0.028,1.660370024,1.640048567
10738,0.514,0.028,1.660370024,1.660370024
14428,0.514,0.028,1.681114875,1.681114875
17511,0.514,0.028,1.650157454,1.681114875
19801,0.514,0.028,1.660370024,1.660370024
23142,0.514,0.028,1.640048567,1.650157454
26548,0.514,0.028,1.660370024,1.681114875
29996,0.514,0.028,1.681114875,1.650157454
